iter	MultiClass
503	0.9116536635
504	0.9116357269
505	0.9116323144
506	0.9116294413
507	0.9116035008
508	0.9115682798
509	0.9115551988
510	0.9114893319
511	0.9114668598
512	0.9114553315
513	0.911430416
514	0.9114121399
515	0.9114090407
516	0.9113870783
517	0.9113794043
518	0.911353047
519	0.9113368562
520	0.9113281937
521	0.9112698678
522	0.9112435538
523	0.911228225
524	0.9111876339
525	0.9111707815
526	0.9111535616
527	0.9111344103
528	0.9111084412
529	0.9110848905
530	0.9110786417
531	0.9110516581
532	0.9110044666
533	0.9109999201
534	0.9109722349
535	0.9109607746
536	0.9109267746
537	0.9108988301
538	0.9108875946
539	0.910877982
540	0.9108368164
541	0.9107874838
542	0.9107711868
543	0.9107616225
544	0.9107387558
545	0.9106963945
546	0.9106715558
547	0.9106609735
548	0.9106509412
549	0.9106080281
550	0.9105778598
551	0.9105647364
552	0.9105324359
553	0.910498733
554	0.9104759441
555	0.9104597604
556	0.9104346125
557	0.9104131128
558	0.9103992834
559	0.9103808819
560	0.9103693726
561	0.9103496449
562	0.9103370111
563	0.9103292966
564	0.9103046531
565	0.9102932599
566	0.9102825852
567	0.910252944
568	0.9102409571
569	0.9102066745
570	0.9101952784
571	0.9101436355
572	0.910122901
573	0.9101011871
574	0.9100635896
575	0.9100422381
576	0.9100172009
577	0.9099885374
578	0.9099691576
579	0.9099586432
580	0.9099444208
581	0.9099218268
582	0.9099043992
583	0.909900376
584	0.9098760073
585	0.909812374
586	0.9097680606
587	0.9097500253
588	0.9097334986
589	0.9097116972
590	0.909675335
591	0.9096158857
592	0.9096092173
593	0.9095770877
594	0.9095612205
595	0.9095407838
596	0.9095206275
597	0.9094321202
598	0.9094215179
599	0.9093815622
600	0.9093568199
601	0.9093518804
602	0.90934133
603	0.9093271308
604	0.9093067951
605	0.9092999698
606	0.9092780743
607	0.9092548023
608	0.9092476832
609	0.9092343855
610	0.9092127153
611	0.9091974446
612	0.9091922788
613	0.9091816428
614	0.9091649643
615	0.9091294033
616	0.9091079789
617	0.9090888441
618	0.9090767987
619	0.9090603189
620	0.9090437997
621	0.9090144429
622	0.9089720628
623	0.9089578704
624	0.9089454584
625	0.9089359559
626	0.9089230457
627	0.9088997287
628	0.9088863077
629	0.9088534453
630	0.9088385411
631	0.908822464
632	0.908789933
633	0.9087340922
634	0.9087117457
635	0.9086914713
636	0.9086878104
637	0.9086740593
638	0.9086419816
639	0.9086283458
640	0.9086187292
641	0.9086070032
642	0.908587862
643	0.9085767945
644	0.9085533659
645	0.9085382799
646	0.9085286055
647	0.9085095213
648	0.9085067545
649	0.9084692045
650	0.9084289298
651	0.9084110012
652	0.9083967301
653	0.9083819439
654	0.9083688404
655	0.9083358338
656	0.908298297
657	0.9082417714
658	0.9082169548
659	0.908193997
660	0.9081750494
661	0.9081707171
662	0.908156767
663	0.9081260474
664	0.9080962357
665	0.9080824332
666	0.908065496
667	0.908060766
668	0.9080435551
669	0.9079972859
670	0.9079656578
671	0.9079456074
672	0.9079352256
673	0.9079104584
674	0.9079011679
675	0.9078559798
676	0.9078540623
677	0.9078453712
678	0.90783564
679	0.9078085389
680	0.9077874953
681	0.9077757681
682	0.9077650009
683	0.9077225943
684	0.9077030552
685	0.9076986209
686	0.9076879569
687	0.9076728606
688	0.9076360585
689	0.9076136412
690	0.9076076128
691	0.9075846443
692	0.9075704607
693	0.9075636045
694	0.9075541876
695	0.9075047559
696	0.9074763822
697	0.9074579548
698	0.9074434093
699	0.9074162962
700	0.9073914055
701	0.9073565831
702	0.9073446574
703	0.9073303041
704	0.9073167647
705	0.9072994554
706	0.9072903299
707	0.9072829862
708	0.9072753906
709	0.9072537396
710	0.9072124676
711	0.9072087822
712	0.9071918568
713	0.9071810749
714	0.9071567266
715	0.9071199754
716	0.9070884451
717	0.9070813747
718	0.9070566044
719	0.9070481828
720	0.9070333668
721	0.907026235
722	0.9070134947
723	0.9069898512
724	0.9069815754
725	0.906964734
726	0.9069367446
727	0.9069308339
728	0.9069120357
729	0.9068867915
730	0.9068580143
731	0.9068410499
732	0.9068144971
733	0.9068085195
734	0.9067842203
735	0.9067652228
736	0.9067536184
737	0.9067142424
738	0.9066992103
739	0.9066858855
740	0.9066430484
741	0.9066296809
742	0.9066117253
743	0.9065878303
744	0.9065730503
745	0.9065538041
746	0.9065407928
747	0.9065204474
748	0.9065099114
749	0.9064999357
750	0.90649315
751	0.9064773653
752	0.9064717511
753	0.9064407929
754	0.906426841
755	0.9064090951
756	0.9063899304
757	0.906368697
758	0.9063187812
759	0.9062959477
760	0.9062717869
761	0.9062490042
762	0.9062273931
763	0.906210449
764	0.9061880534
765	0.9061685792
766	0.9061633234
767	0.9061462664
768	0.9061080588
769	0.9060959176
770	0.9060850126
771	0.9060720448
772	0.9060457127
773	0.906032582
774	0.9059883472
775	0.9059623462
776	0.9059506976
777	0.905919489
778	0.9059138634
779	0.9058960725
780	0.9058868375
781	0.9058763542
782	0.9058446771
783	0.9058319746
784	0.9058205008
785	0.9057994272
786	0.905782294
787	0.905748789
788	0.9057286848
789	0.9057222132
790	0.905708476
791	0.9057012283
792	0.9056655709
793	0.9056401718
794	0.9056292382
795	0.9055883357
796	0.9055386858
797	0.9055257614
798	0.9055245034
799	0.90550596
800	0.905498766
801	0.9054540618
802	0.9054314344
803	0.9053980701
804	0.9053864052
805	0.9053692659
806	0.9053524909
807	0.9053391179
808	0.9053174847
809	0.9053084675
810	0.9052963772
811	0.9052868793
812	0.9052616031
813	0.9051749346
814	0.9051679754
815	0.9051567128
816	0.9051463851
817	0.9051171607
818	0.9051141533
819	0.9051079508
820	0.9050961063
821	0.9050847751
822	0.9050755563
823	0.9050685269
824	0.9050565954
825	0.9050322026
826	0.9050083961
827	0.9049941837
828	0.9049488638
829	0.9049245716
830	0.9048982006
831	0.9048917656
832	0.9048721105
833	0.9048648644
834	0.9048483555
835	0.9048237587
836	0.9048153721
837	0.9048076921
838	0.9047851262
839	0.9047581103
840	0.9047494795
841	0.9047163843
842	0.9047098016
843	0.9046896492
844	0.9046797254
845	0.9046646734
846	0.9046396313
847	0.9046313353
848	0.9046121383
849	0.904594711
850	0.9045730515
851	0.9045607846
852	0.9045484466
853	0.9045342447
854	0.9044869518
855	0.90446539
856	0.904451159
857	0.9044228592
858	0.9044116788
859	0.904404704
860	0.9043949296
861	0.9043731979
862	0.9043570408
863	0.9043284749
864	0.9043130129
865	0.9042981981
866	0.9042757005
867	0.9042455684
868	0.9042103937
869	0.9041955655
870	0.9041725051
871	0.9041397418
872	0.9041330351
873	0.9041188009
874	0.9041109967
875	0.9041025638
876	0.9040916049
877	0.9040787489
878	0.9040602323
879	0.9040476545
880	0.904034901
881	0.9040266128
882	0.9040192659
883	0.9040125157
884	0.9039930537
885	0.9039799056
886	0.9039591451
887	0.903939628
888	0.9039331402
889	0.9039182096
890	0.9038887524
891	0.9038763724
892	0.9038590571
893	0.9038414555
894	0.9038349534
895	0.9038069648
896	0.9037970674
897	0.9037663712
898	0.9037396591
899	0.9037178879
900	0.9036999288
901	0.9036867216
902	0.9036716747
903	0.903663278
904	0.9036321823
905	0.9035974006
906	0.9035759721
907	0.9035696361
908	0.9035497703
909	0.9035388222
910	0.9035259074
911	0.9035078805
912	0.9034879563
913	0.9034787544
914	0.903472929
915	0.9034644313
916	0.903446502
917	0.9034337512
918	0.9034101581
919	0.9033975675
920	0.9033816152
921	0.9033543525
922	0.9033509458
923	0.9033389455
924	0.9033317635
925	0.9033099087
926	0.9032997272
927	0.9032670884
928	0.9032466395
929	0.9032387096
930	0.903209628
931	0.9031713885
932	0.9031660635
933	0.903160971
934	0.9031409012
935	0.9031255585
936	0.9030984095
937	0.9030733507
938	0.903068699
939	0.903033646
940	0.9030137454
941	0.9029988558
942	0.9029884531
943	0.9029736608
944	0.9029592594
945	0.9029401529
946	0.9029229365
947	0.9029109767
948	0.9028945773
949	0.9028870648
950	0.9028733006
951	0.9028567639
952	0.9028435324
953	0.9028188898
954	0.9028036933
955	0.9027889963
956	0.9027839976
957	0.9027742285
958	0.9027676079
959	0.9027609219
960	0.9027508779
961	0.9027390215
962	0.9027301617
963	0.9027001778
964	0.9026859385
965	0.902670112
966	0.902643933
967	0.9026350624
968	0.9025779372
969	0.9025610675
970	0.9025538764
971	0.9025260921
972	0.9025222395
973	0.9025047323
974	0.9024748888
975	0.9024564714
976	0.9024425852
977	0.9024253876
978	0.9024045228
979	0.9023812712
980	0.9023640552
981	0.9023555434
982	0.9023438427
983	0.9023231948
984	0.9023102199
985	0.902299699
986	0.9022819498
987	0.9022738672
988	0.9022550329
989	0.9022467266
990	0.9022304534
991	0.9022245068
992	0.902210814
993	0.9022088848
994	0.9021823499
995	0.9021727069
996	0.9021597807
997	0.902158891
998	0.9021445619
999	0.902126069
